Category,train,val,test,Total,Train %,Val %,Test %,Percentage,Class Balance,Std_Dev,CV
Black Rohu,214,61,31,306,69.9,19.9,10.1,6.971975393028025,0.5918762088974855,98.1,96.2
Catla,302,86,44,432,69.9,19.9,10.2,9.842788790157211,0.8355899419729207,138.4,96.1
Common Carp,361,103,53,517,69.8,19.9,10.3,11.779448621553884,1.0,165.3,95.9
Freshwater Shark,42,12,6,60,70.0,20.0,10.0,1.367053998632946,0.11605415860735009,19.3,96.4
Grass Carp,287,82,41,410,70.0,20.0,10.0,9.341535657325132,0.793036750483559,131.8,96.4
Long-whiskered Catfish,42,12,7,61,68.9,19.7,11.5,1.3898382319434952,0.11798839458413926,18.9,93.1
Mirror Carp,290,83,42,415,69.9,20.0,10.1,9.455456823877876,0.8027079303675049,132.9,96.1
Mrigal,283,81,41,405,69.9,20.0,10.1,9.227614490772385,0.7833655705996132,129.7,96.1
Nile Tilapia,286,81,42,409,69.9,19.8,10.3,9.318751424014582,0.7911025145067698,131.1,96.1
Rohu,359,102,53,514,69.8,19.8,10.3,11.711095921622237,0.9941972920696325,164.4,95.9
Silver Carp,280,80,40,400,70.0,20.0,10.0,9.113693324219641,0.7736943907156673,128.6,96.4
Striped Catfish,322,92,46,460,70.0,20.0,10.0,10.480747322852586,0.8897485493230174,147.9,96.4
